Indonesian,Minangkabau
sungai,tang aia
uang,pitih
aba-aba,kumando
aba-aba,parintah
abad,ambiak
abad,indak bakasudahan
abad,maso
abad,maso saratuih taun
abadi,kaka salamonya
abang,tuan
abang,uda
abdi,ambo
abdi,budak
abdi,pagawai
abses,maradang
absolut,indak babateh
absolut,indak basaraik
absolut,indak diragukan lai
absolut,sapanuahnyo
abstrak,indak babantuak
abstrak,indak bawujuik
abstrak,inti
abstrak,ringkasan
abu,abu
abu,gabuak
abu-abu,abu-abu
abu-abu,kalabu
acar,acar
acara,acara
acara,pakaro
ada,ado
ada,lai
adalah,adalah
adalah,adolah
adalah,iyolah
adalah,yaitu
adat,adaik
adat,aturan
adat,kabiasoan
adegan,adegan
adem,adem
adik,adiak
adil,adia
adil,adial
adil,adil
aduh,hadeh
aduh,handeh
agama,agamo
agen,agen
agenda,buku catatan arian
agustus,agustus
ahli,mahia bana
air,aia
ajak,ajak
ajaklah,ajaklah
ajarkan,ajaan
ajarmu,ajar ang
ajarmu,ajar kau
ajudan,ajudan
akal,aka
akal,caro
akal,pikiaran
akal,tipu dayo
akal,upayo
akan,akan
akan,ka
akan,kan
akankah,akankah
akannya,akannya
akar,asa mulo
akar,urek
akhir,akhia
akhir,akia
akhir pekan,akhia pakan
akhiran,akhiran
akhirat,akhiraik
akhiri,akhiri
akhirmu,akhir ang
akhirmu,akhir kau
akhirnya,akhianyo
akhirnya,akhirnya
akhirnya,akhirnyo
akhirnya,akianyo
akhirnya,kasudahan nyo
akhirnya,kudian
akrobat,akrobat
aksen,logaik
aksenmu,aksen ang
aksenmu,ang kau
aksesoris,aksesoris
aktifkan,aktifan
aktingku,ekting ambo
aktingku,ekting awak
aktingku,ekting den
aktivasi,aktivasi
aktivitasmu,aktivitas ang
aktivitasmu,aktivitas kau
akuarium,akuarium
akui,akui
akuilah,akuilah
akuisisi,akuisisi
akulah,ambo lah
akulah,awak lah
akulah,den lah
melihat,maliek
melihat,mancaliak
akun,akun
akuntan,akuntan
akuntanku,akuntan ambo
akuntanku,akuntan awak
akuntanku,akuntan den
akupun,ambo pun
akupun,awak pun
akupun,den pun
alam,alam
alam,duniako
alam semesta,alam semesta
alamak,alamak
alamat,alamaik
alamat,patando
alamatku,alamaik ambo
alamatku,alamaik awak
alamatku,alamaik den
alamatmu,alamaik ang
alamatmu,alamaik kau
alamatmu,alamaik situ
alamatnya,alamaik nyo
alamiah,alamiah
alaminya,alaminyo
alarm,sarine
alarmnya,alaramnyo
alasan,alasan
alasan,dalih
alasanku,alasan ambo
alasanku,alasan awak
alasanku,alasan den
alasanmu,alasan ang
alasanmu,alasan kau
alat,alaik
alat,pakakeh
algojo,algojo
algojonya,algojonyo
alibiku,alibi ambo
alibiku,alibi awak
alibiku,alibi den
alibinya,alibinyo
alienmu,alien ang
alienmu,alien kau
aliennya,aliennyo
alih,aliah
alih,alieh
alih,alih
alihkan,aliahan 
alirannya,alirannyo
alisku,alis ambo
alisku,alis awak
alisku,alis den
alkohol,alkohol
almarhum,mandiang
aman,aman
amanahkan,amanahan
amankan,amanakan
amannya,amannyo
amarah,amarah
amatiran,amatiran
ambang,ambang
ambil,ambek
ambil,ambiak
ambil,ambiek
ambil,ambik
ambilkan,ambiak an
ambillah,ambiak lah
ambisi,ambisi
ambisiku,ambisi ambo
ambisiku,ambisi awak 
ambisiku,ambisi den
ambulan,ambulan
ambulannya,ambulan nyo
amplop,ampolok
amplop,bungkuih surek
amplopnya,amplopnyo
ampun,ampun
ampun,mauh
ampun,ondeh mandeh
ampunan,ampunan
ampuni,ampuni
ampunilah,ampunilah
ampunkan,ampunkan
amputasi,amputasi
ampuunn,ampunn
amunisi,amunisi
amunisimu,amunisi ang
amunisimu,amunisi kau
amunisinya,amunisinyo
anak,katurunan nan kaduo
anak,paja
anak laki-laki,bujang
anak tangga,anak tetangga
anakku,anak ambo
anakku,anak awak
anakku,anak den
anakmu,anak ang
anakmu,anak kau
anaknya,anaknyo
analisa,analisa
analogi,analogi
anatominya,anatominyo
ancam,ancam
ancaman,ancaman
ancaman,garegak
ancaman,garotak
ancamanan,ancaman
ancamannya,ancamannyo
anda,ang
anda,awak
anda,kau
andai,andai
andaikan,andaikan
aneh,aneh
aneh,aneh
aneh,lain
aneh,dalang
aneh,ganjia
anggap,anggap
anggap,anggauk
anggap,anggok
anggapanku,anggapan ambo
anggapanku,anggapan awak
anggapanku,anggapan den
anggaplah,anggap lah
anggaran belanja,anggaran balanjo
anggota,anggota
anggotaku,anggota ambo
anggotaku,anggota awak 
anggotaku,anggota den
anggotamu,anggota ang
anggotamu,anggota kau
anggrekmu,anggrek ang
anggrekmu,anggrek kau
anggreknya,anggreknyo
anggukan,anggukan
anggur,anggua
anggur,anggur
angin,angin
angin,kantuik
anginnya,anginnyo
angka,angko
angka,tando bilangan
angkanya,angkonyo
angkasa,ruang angkasa
angkasa,ruang langik
angkasamu,angkaso ang
angkasamu,angkaso kau
angkat,angkek
angkatan,barek
angkatan,bareknyo
angkatan,nan diangkek
angkatan,pasukan
angkatan,turunan
angkatlah,angkek lah
angkuh,angkuh
anjing,anjiang
anjingnya,anjiang nyo
anjungan,anjuang-anjuang
anjurkan,anjuaan
anomalinya,anomalinyo
anonim,anonim
ansuransi,asuransi
antar,anta
antara,antara
antara,antaro
antariksamu,antariksa ang
antariksamu,antariksa kau
antarkan,antaan
antarmanusia,anta urang
antarmuka,anta muko
antipeluru,anti paluru
antisipasi,antisipasi
antre,antre
antusias,antusias 
antusiasme,antusiasme
anugerah,anugarah
anugerah,karunia
anugerah,pambarian
anugrah,anugrah
apa,apo
apa pun,apopun
apa saja,apo ajo
apaan,aa
apakah,a
apakah,apakah
apakah,apo
apakah,apo ko
apakah,apokah
apakah,apokoh
apakah,lai
apakan,apoan
apalagi,apolai
apalah,apolah
apanya,aponyo
apapun,apo ajo
apapun,apo pun
apapun,apojuo
apapun,apopun
apapun,apose
apartemen,apatemen
apartemennya,apartemen nyo
apartmen,apartemen
apel,apel
apelnya,apelnyo
api,api
apimu,api ang
apimu,api kau
apinya,apinyo
aplikasi,jaik aplikasi
aplikasi,jaik tempe
aplikasi,panggunaan
aplikasi,penerapan
aplikasinya,aplikasinyo
apotek,apotik
april,april
arah,arah
arah,mukasuik
arah,tujuan
arahan,bimbiangan
arahkan,arahan
arahku,arah ambo
arahku,arah awak
arahku,arah den
arahmu,arah ang
arahmu,arah kau
arahnya,arah nyo
areanya,areanyo
arenanya,arenanya
aritmatika,aritmatika
arloji,jam tangan
arogan,sombong
aromaku,aroma awak
aromaku,aroma den
aromanya,aroma ang
aromanya,aroma inyo
arsip,dokumen tatulih
arsitektur,arsitektur
artikel,karangan
artikel,kato sandang
artikel,pasal
artinya,aratinyo
artinya,artinyo
artinya,maknonyo
arwahnya,arwahnyo
asalku,asal awak
asalku,asal den
asalmu,asal ang
asalmu,asal kau
asap,asok
asapnya,asok nyo
asik,asik
asik,sero
asing,asiang
asing,indak kanal
asingnya,asiangnyo
asissten,asisten
asisstennya,asissten nyo
asisstennya,asistennyo
asistenku,asisten den
asistenmu,asisten kau
asistenmu,asisten situ
asli,asali
aslimu,asli ang
asosiasi,pasakutuan dagang
aspal,aspal
aspal,jalan rayo
astaga, astagfirulloh
astaga,astaga
astaga,astaghfirullah
astaga,ondeh
astaga,ondemande
astronot,astronot
astronotnya,astronotnyo
asuh,asuh
asumsi,agak-agak
asumsi,parkiroan
asumsikan,asumsikan
asumsiku,asumsi den
asupan,asupan
asuransi,asuransi
asuransinya,asuransinyo
atap,atok
atas,ate
atas,ateh
atasan,atasan
atasanku,atasan den
atasanmu,atasan ang
atasannya,atasannyo
atau,atau
atau,ato
ataukah,ataukah
aternatifnya, alternatifnyo
atlantis,atlantis
atm,atm
aturan,atuaran
aturan,katantuan
aturan,patunjuak
aturan,sopan santun
aturannya,aturanyo
audionya,audionyo
audiovisual,audiovisual
autopsi,autopsi
awak,anak buah kapa
awak,awak
awak kapal,palawik
awal,awa
awal,awal
awal,mulo
awal,patamo
awal,pertamo
awas,aanjak
awas,awaih
awas,awas
awet,awet
ayaah,aapa
ayaah,aapak
ayah,abak
ayahku,apak den
ayahku,aya ang
